category,business name,description,detail,url
activities,THE PRESERVE AT TRILLIUM2,explore nature,explore nature,https://www.wclt.org/projects/trillium-community-forest/
activities,TRAVIS FURLANIC MUSHROOM TOURS,explore nature,mushroom tours,https://www.whidbeymushroomtours.com
activities,"JOLI FARMS QUARTER HORSES, LLC",fitness,equestrian lessons,https://joli-farms.business.site
activities,SOLID STONE BOXING LLC,fitness,fitness - boxing gym,https://www.solidstoneboxing.com
activities,"ISLAND NAUTILUS, INC.",fitness,Island Athletic Club,https://islandathleticclub.com
activities,"SOUTH ISLAND CROSSFIT, LLC",fitness,"gym, crossfit",https://www.southislandcrossfit.com
activities,"TIGER MARTIAL ARTS, LLC",fitness,martial arts studio,http://tigermartialarts.info
activities,ACE PICKLE BARN LLC,fitness,pickleball facility,https://www.whidbeypicklebarn.com
activities,PILATES COLLECTIVE LLC,fitness,pilates,https://www.pilatescollective.studio/teachers
activities,"WYLDERWEBB SANCTUARY, LLC",fitness,yoga retreat,http://www.wylderwebb.com
activities,WHIDBEY ISLAND GARDEN TOUR,gardening,annual garden tour,https://www.wigt.org
activities,"ISLAND EXPLORER, LLC",marine adventure,kayak rentals,https://www.whidbeyislandkayaking.com
activities,SARATOGA YACHT CHARTERS LLC,marine adventure,yacht charter,https://saratogayachtcharters.com
activities,SILLY DOG STUDIOS LLC2,photography,photography workshops,https://www.danieljgregory.com
activities,"USELESS BAY GOLF & COUNTRY CLUB, INC.",sports,"golf, country club",https://www.uselessbaygolf.com
activities,SCOTCH WHISKY EVENTS LLC2,tastings,scotch and whiskey tastings,https://www.scotchwhiskyevents.com
activities,THE BACKYARD WHIDBEY ISLAND,youth,gym,https://www.thebackyardwhidbey.org/
activities,FMRF LLC,youth,summer camp,https://fullmoonrisingfarm.com
activities,SOUTH WHIDBEY LITTLE LEAGUE,youth,youth,https://www.southwhidbeylittleleague.com
activities,THE HUB - YOUTH CENTRAL,youth,youth afterschool,http://www.thehubafterschool.org
activities,AMERICAN LEGION AUXILIARY SOUTH WHIDBEY 141,youth,youth baseball,https://www.legion.org/baseball/teams/2015/wa/304519
animal services,SOUTH WHIDBEY ANIMAL CLINIC,veterinary clinic,veterinarian,https://southwhidbeyac.com
animal services,WAIF ENDOWMENT FOUNDATION,animal rehoming,animal rescue,https://waifanimals.org
animal services,CRITTERS PET RESCUE FOUNDATION,animal rescue,pet supplies,https://www.whidbeycritters.com/
animal services,"CMC DOG TRAINER, LLC",dog training,,https://www.cmcdogtrainer.com
animal services,DOUBLE DOWN DOG TRAINING LLC,dog training,,https://www.doubledowndogtraining.com
animal services,PREVAIL K9 TRAINING LLC,dog training,,https://prevailk9training.com
animal services,SEVEN CEDARS DOG TRAINING LLC,dog training,,https://www.7cedarsdogtraining.com
animal services,"WHIDBEY DOG WORKS, LLC",dog training,,https://www.whidbeydogs.com/home
animal services,HOPE THERAPEUTIC RIDING PROGRAM,equestrian,"youth, horses, therapy",https://www.hopewhidbey.com
animal services,EQUESTRIAN CROSSINGS,equestrian classes,equestrian services,https://equestriancrossings.org/classes/our-classes/
animal services,WHIDBEY EQUINE MASSAGE AND BODYWORK LLC,Equine Massage and Bodywork ,equestrian services,https://www.facebook.com/whidbeyequinemassageandbodywork/
animal services,"TRICIA'S PET CARE, LLC",in-house pet sitting,pet services,https://triciaspetcare.com
animal services,OASIS FOR ANIMALS,no kill shelter,animal shelter,http://oasisforanimals.org
animal services,SALTY PAWS PET SERVICES PLLC,"pet care, beach walks",pet services,http://www.saltypawspet.services
animal services,"LOVE BUG PET MASSAGE, LLC",pet massage,pet services,https://www.lovebugpetmassage.com
animal services,"USELESS BAY ANIMAL CLINIC, PC.",veterinary clinic,veterinarian,https://www.yelp.com/biz/useless-bay-animal-clinic-freeland
animal services,ANIMAL HOSPITAL BY THE SEA LLC,veterinary hostpital,veterinarian,https://www.animalhospitalbythesea.com
animal services,GLOBAL WILDLIFE RESOURCES INC,wildlife capture (training),,https://wildlifecaptureandcare.com
arts & culture,ROB SCHOUTEN GALLERY & SCULPTURE GARDEN,art gallery,,https://www.robschoutengallery.com
arts & culture,LACHAUSSEE BLOWN GLASS LLC,blown glass,,https://www.lachausseeblownglass.com
arts & culture,WHIDBEY CHILDREN'S THEATER,children's theatre,,https://wctmagic.org
arts & culture,BACK DOOR CLAY COMMUNITY STUDIO LLC,clay center with classes,,https://whidbeyclaycenter.com
arts & culture,WHIDBEY ISLAND DANCE THEATRE,dance theatre,,https://www.widtonline.org
arts & culture,WHIDBEY ISLAND CENTER FOR THE ARTS,deepening our shared humanity and sense of belonging through art,,https://www.wicaonline.org/
arts & culture,ARTWORKS GALLERY,gallery,,https://www.artworkswhidbey.com
arts & culture,ARTISTS' COOPERATIVE OF WHIDBEY ISLAND,gallery,,http://www.whidbeyartists.com
arts & culture,MUSEO GALLERY LLC,gallery,,https://museo.cc
arts & culture,"CORMAC MCCARTHY FINE ART, LLC",gallery,,https://www.cormacpaints.art
arts & culture,CULTUS BAY GLASS LLC,gallery,,https://www.cultusbayglass.com
arts & culture,"BABS SMALL PUBLICATIONS, LLC",literary,,https://www.babsmallpublications.com/about
arts & culture,"TULIP AND HOUND PRODUCTIONS, LLC","literary arts, novels",,https://tulipandhound.com
arts & culture,JING+MIKE CO.,literary children's books and illustrations,,http://www.jingandmike.com
arts & culture,WHIDBEY LIFE MEDIA,literary publisher,,https://www.whidbeylifemagazine.org
arts & culture,OTHERWORLD CHILDREN'S MEDIA,"media production company for public broadcasting, educational media, alternative technology, and theatre.",,http://www.otherworldmedia.com
arts & culture,THE CLYDE THEATRE LLP,movie theatre,,http://theclyde.net
arts & culture,ANIMALS 24-7,news,investigative newspaper and information service reporting about humane work worldwide. ,https://www.animals24-7.org
arts & culture,THIS IS WHIDBEY,news,news,https://thisiswhidbey.com
arts & culture,"JAMES E. TENNISON ARTIST, LLC",oil paintings and watercolors,,https://www.jamestennison.com
arts & culture,SARATOGA CHAMBER ORCHESTRA,orchestra,,https://www.sowhidbey.com
arts & culture,THE SHIFTY SAILORS,performing musicians,,https://shiftysailors.net
arts & culture,VAMOLA BRAZILIAN MUSIC AND DANCE,"performing musicians, Brazilian drum and dance",,https://vamola.org
arts & culture,FRANK SPEAR PHOTOGRAPHIC ART LLC,photographic art,,https://spearphotoart.com
arts & culture,ISLAND ART GLASS LLC,retail,glass are online and retail,https://islandglassart.com
arts & culture,OUTCAST PRODUCTIONS,theatre company,,http://outcastproductions.net/
B2B services,SHINE PATHWAYS LLC,academic coaching,,https://www.shinepathways.com
B2B services,"B. HEATH GUNN, CPA, PS",accounting,,https://www.skagitvalleydirectory.com/biz/23694/gunn-b-heath-cpa
B2B services,"BALANCED TAX SOLUTIONS, INC.",accounting,,https://balancedtax.solutions
B2B services,VISTA LABORATORY SERVICES LLC,antibody and materials for lateral flow rapid tests,,https://vistalaboratoryservices.com
B2B services,"STERLING ESTATE SERVICES, LLC","appraiser, personal property",,https://www.sterlingestateservices.com
B2B services,"JAMES M. PAULSON, PROFESSIONAL CORPORATION",arbitration,,http://www.jmpaulson.com/index.html
B2B services,"ANTHONY W. DOUGHERTY INC., P.S.",attorney,,https://www.awdlawoffices.com
B2B services,"ARNDT & WALKER, ATTORNEYS AT LAW LLC",attorney,,http://kawlawyers.com
B2B services,"LAW OFFICE OF JAMES L CARBONE, PLLC",attorney,,https://www.skagitvalleydirectory.com/biz/28307/carbone-james-pllc-law-office-of
B2B services,"LAW OFFICES OF ANDREW F SCOTT AND ASSOCIATES, PLLC",attorney,,https://afscottlaw.com/freeland-wa-lawyer/
B2B services,"PALADIN PARTNERS I, LLC",B2B Consulting Services,executive coach,https://janismachala.com
B2B services,"PARALLAX CONSULTING, INC. NW",B2B Consulting Services,executive coach,https://parallaxconsulting.com
B2B services,"LAURA SOUTHARD CONSULTING, LLC",B2B Consulting Services,"human resources strategy, planning and operational support to organizations and businesses with a special emphasis on embedding equity, diversity and inclusion into the design and delivery of programs, policies and practices.  ",https://www.southardhr.com
B2B services,"LAKEMONT CONSULTING GROUP, INC.",B2B Consulting Services,IT consulting,https://lakemontconsulting.com/index.php
B2B services,SOURCING THE WAY INC.,B2B Consulting Services,leadership coaching,https://sourcingtheway.com
B2B services,MAKETA WILBORN CONSULTING LLC,B2B Consulting Services,leadership facilitator,https://www.maketawilborn.com/index.php
B2B services,"SUMMIT24, LLC",B2B Consulting Services,"marketing strategy, business strategy",https://www.summit24.com
B2B services,BLACK DOG BLACK CAT LLC,B2B Consulting Services,mgmt consulting,https://blackdogblackcat.com
B2B services,SOUND BUSINESS STRATEGIES LLC,B2B Consulting Services,mgmt consulting,https://soundbusinessstrategies.com
B2B services,CONNECTS MARKETING GROUP INC,B2B Consulting Services,mgmt consulting B2B,https://connectsgroup.com
B2B services,"CURTIS MYERS, LLC",B2B Consulting Services,retail management services,https://www.myersgroupllc.com
B2B services,"EAGLES EYE CONSULTANTS, LLC",B2B Consulting Services,security consulting,http://www.eagleseyeconsultants.com/home.html
B2B services,NEW HARMONY STATISTICAL CONSULTING LLC,B2B Consulting Services,statistician,https://newharmonystats.com
B2B services,CAIRN FINANCIAL INC.,B2B Consulting Services,wealth mgmt,https://www.cairnfinancial.com
B2B services,"TENNISON FILMS, LLC",brand films,,https://www.tennisonfilms.com
B2B services,"ASH CONSULTING GROUP, LLC",consulting,,https://www.hagbergconsulting.com
B2B services,"KALAKALA CO. ANIMATION, LLC",creative content creation,,https://kalakala.co
B2B services,WHIDBEY CREATIVE LLC,digital marketing,branding,https://www.whidbeycreative.com
B2B services,GB PRODUCTIONS LLC,digital services,"creative agency for web, mobile and logo design",https://gbpro.net
B2B services,ROSENKRANZ PRODUCTIONS INC.,digital services,digital content creation,https://rosenkranzproductions.com
B2B services,RHIZOME DESIGN INC.,digital services,digital content creation and implementation services,https://rhizomecollaborative.com
B2B services,"FUSIONSPARK MEDIA, SPC",digital services,"marketing, content, design",http://www.fusionspark.com
B2B services,"SUITESPOT CONSULTING, LLC",digital services,"Netsuite, oracle",https://www.suitespotconsulting.com
B2B services,MOUNTAINS TO SOUND MARKETING LLC,digital services,"SEO, marketing",https://mountainstosoundmarketing.com
B2B services,"ARTIFACT TECHNOLOGIES, INC.",digital services,,https://www.artifacttech.com/index.html
B2B services,"UST TRAINING, INC.","driver training, class A, B and C UST",,https://usttraining.com
B2B services,"FROSTY HOLLOW ECOLOGICAL RESTORATION, INC.",ecology specialists,ecological restoration,https://www.landcan.org/local-resources/Frosty-Hollow-Ecological-Restoration/57560/
B2B services,"SAFE RIDE NEWS PUBLICATIONS, LLC",educational publisher,,https://www.saferidenews.com
B2B services,SEINERGY LLC,energy conservation for indoor growers and technical advisor to utility companies,,https://seinergy.com/about-us/
B2B services,"DIAMONDBACK TECHNOLOGY, INC.",engineering,bulk material handling,https://diamondbacktechnology.com
B2B services,"THE HYDRODYNAMICS GROUP, LLC",experienced in the development of groundwater resources and deep geological energy storage projects.,,http://hydrodynamics-group.com
B2B services,CATALYST FILM CONSULTING INC,film,,https://www.catalystfilmconsulting.com
B2B services,HONESTLY BOOKKEEPING INC,financial services,bookkeeping,https://honestlybookkeepinginc.com
B2B services,DCA TAX PLANNING LLC,financial services,"cpa, tax planning",https://whidbeycpa.com
B2B services,KK  FINANCIAL SOLUTIONS LLC,financial services,financial advisor,https://www.kkfinancialsolutions.us
B2B services,"FULTON FINANCIAL CONSULTANTS, INC.",financial services,financial services and consulting,https://www.fultonfinancial.com
B2B services,"J.JOHNSON INSURANCE, LLC",financial services,"health insurance, life, employee",https://www.jjinshealthchoices.com
B2B services,JM TAX SERVICES LLC,financial services,individual and corporate tax returns,https://www.jmtaxservices.com
B2B services,ATOMIC OTTER LLC,full service for SBs,,https://atomicotter.com
B2B services,"ISLE OF ART, INC.","gifts, printing services","design, print",https://featherandfoxprintco.com
B2B services,"CK GRAPHIC DESIGN, LLC",graphic design,,https://ckgraphicdesign.com
B2B services,"AYURVEDA ARTS, LLC",health,,https://www.facebook.com/p/Ayurveda-Arts-100067023071271/?paipv=0&eav=AfYgQX99mjdUwv0PyCJFv9jYhyGQo3RME3Gh6QNKPLb4j57T0iAkLCwjQ2HgzEt9cn4&_rdr
B2B services,LIMINA LLC,home funeral guide,,https://lucindaherring.com
B2B services,"SP INDUSTRIAL LUBRICATION & AIR, LLC",Industrial Lubrication and Compressed Air Systems,,https://www.spi-airlube.com
B2B services,TECHCADIA LLC,IT,,https://github.com/Techcadia
B2B services,BUOY IT SOLUTIONS LLC,IT services and consulting,,https://www.buoyitsolutions.com
B2B services,LEEDS CONSULTING GROUP LLC,lead generation,,https://leedscg.com
B2B services,ANANDA VALENZUELA LLC,leadership,,https://anandavalenzuela.org
B2B services,"BEST PRACTICE, INC COACHING ",leadership,,https://bestpracticeinc.com
B2B services,QUANTUM EDGE LLC,leadership consulting,,https://quantumedge.org
B2B services,ETI CONSULTING LLC,management consulting,environmental stewardship,http://www.etitrain.com
B2B services,"EXPERIENTIAL CONSULTING, LLC",management consulting,risk management for outdoor programs,https://www.outdoorrisk.com
B2B services,NICHOLS MARINE SERVICES LLC,marine,consulting for new vessel construction,https://www.nicholsms.com/index.html
B2B services,KINGSPOKE MARINE SURVEYING LLC,marine,marine surveyor,https://kingspokemarine.com
B2B services,"SAFE SHOP TOOLS, LLC",marine tools,rigging tools,http://www.safeshop.com/index.html
B2B services,ABI TSCHETTER,marketing services,marketing agency,https://www.abitschetter.com
B2B services,"TRISTAN J CARNEY, LLC",marketing services,marketing agency,https://tristanjcarney.co/
B2B services,SERPCO LLC,marketing services,marketing agency,https://serp.agency
B2B services,"SIBYL DESIGN, INC.",marketing services,marketing agency,https://www.sibyl.com/#filter=.home
B2B services,KAELA ANN INCORPORATED,marketing services,print design,https://www.kaylaanncreative.com
B2B services,"DIVERSE DESIGN, LLC",marketing services,web design,https://diversedesign.net
B2B services,"PRODIGY HEALTH INSURANCE SERVICES, LLC",medical stop-loss coverage in all 50 states to self-funded employers with 51 or more employees.,,https://prodigystoploss.com
B2B services,"VISTA DIAGNOSTICS INTERNATIONAL, LLC",medical: rapid diagnostic test development,,https://vistadx.net
B2B services,"ANDS, LLC",nursing certifications,,https://www.andsconsulting.com
B2B services,"TAYLOR PENSION ADMINISTRATION, LLC",pension administration,,https://www.taylorpension.com
B2B services,"SOLARIS IMAGES, INC.",photography,"authentic, compelling images of people, industrial and architectural subjects on location for businesses, publishers and non-profits",https://www.mlharrisphotography.com
B2B services,"PHOENIX RUSSO PHOTOGRAPHY, LLC",photography,photographer,https://www.phoenixrussophotography.com
B2B services,NURSES2GO LLC,placement services for qualified Nurses,,https://www.nurses2go.com
B2B services,INVITECHANGE LLC,professional coaching,leadership training,https://www.invitechange.com
